time;approach;version;n_envs;max_mean_reward;mean_reward;epoch;epochs;attempt;total_timesteps;filename
1702151132.572158;PPO;env;4;-439617.5488916702;[-446228.73547964 -439617.54889167 -462955.1922908  -462636.06041743];27;100;0;10000.0;./weights/PPO-env-4.sav
1702151410.8745167;PPO;env;4;-438184.82180500793;[-449978.227184   -438184.82180501 -463220.14482928 -460433.32470275];28;100;0;10000.0;./weights/PPO-env-4.sav
1702151690.3052888;PPO;env;4;-439518.2667464597;[-448506.5502086  -439518.26674646 -463474.89931343 -458291.7787833 ];29;100;0;10000.0;./weights/PPO-env-4.sav
1702151968.2549767;PPO;env;4;-440400.172637032;[-446697.46410413 -440400.17263703 -464096.04944329 -456007.96914013];30;100;0;10000.0;./weights/PPO-env-4.sav
1702152247.1259968;PPO;env;4;-441745.1468311142;[-444971.97538672 -441745.14683111 -461683.46174912 -456477.26586169];31;100;0;10000.0;./weights/PPO-env-4.sav
1702152523.6784685;PPO;env;4;-440428.8605878403;[-448610.85863733 -440428.86058784 -462405.1879803  -454757.72036611];32;100;0;10000.0;./weights/PPO-env-4.sav
1702152799.4853492;PPO;env;4;-444401.27088153805;[-447359.26487614 -444401.27088154 -460266.33842327 -455142.14972645];33;100;0;10000.0;./weights/PPO-env-4.sav
1702153078.2867017;PPO;env;4;-445483.21427242144;[-448010.85428891 -445483.21427242 -460757.9808434  -453267.18931211];34;100;0;10000.0;./weights/PPO-env-4.sav
1702153356.7800918;PPO;env;4;-446388.39959393424;[-446807.09286323 -446388.39959393 -458981.80165777 -453653.64627266];35;100;0;10000.0;./weights/PPO-env-4.sav
1702153636.342193;PPO;env;4;-445293.67034644773;[-445293.67034645 -447439.48953369 -457004.44559861 -452084.95465965];36;100;0;10000.0;./weights/PPO-env-4.sav
1702153918.4753773;PPO;env;4;-448264.495506751;[-448372.74620481 -448264.49550675 -457782.37307043 -450704.78432863];37;100;0;10000.0;./weights/PPO-env-4.sav
1702154197.793046;PPO;env;4;-447076.1999539276;[-447076.19995393 -449013.04003817 -456311.49199641 -449033.8428209 ];38;100;0;10000.0;./weights/PPO-env-4.sav
1702154480.8995256;PPO;env;4;-445988.6550054937;[-445988.65500549 -449717.97991795 -457115.74973038 -447636.56938581];39;100;0;10000.0;./weights/PPO-env-4.sav
