time;approach;version;n_envs;max_mean_reward;mean_reward;epoch;epochs;attempt;total_timesteps;filename
1702426075.4382763;PPO;env;4;2.6291361831366946;[2.6217486  2.62452724 2.62913618 2.62593593];28;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702426349.3761334;PPO;env;4;2.630351493825823;[2.62162465 2.62343849 2.63035149 2.6249929 ];29;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702426623.2880442;PPO;env;4;2.6296626884658005;[2.62202401 2.62408486 2.62966269 2.62480135];30;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702426898.0614643;PPO;env;4;2.630891723872575;[2.62162182 2.62432765 2.63089172 2.62502423];31;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702427173.8093727;PPO;env;4;2.6312447981106675;[2.62230597 2.62462775 2.6312448  2.6248899 ];32;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702427448.0561116;PPO;env;4;2.6305574763110644;[2.62216252 2.62313683 2.63055748 2.62560549];33;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702427721.7187157;PPO;env;4;2.630843324760482;[2.62194963 2.62311571 2.63084332 2.62657845];34;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702427996.6484215;PPO;env;4;2.6317903298270364;[2.6223752  2.62276504 2.63179033 2.62745093];35;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702428272.0235791;PPO;env;4;2.6321712788214464;[2.62200914 2.62297641 2.63217128 2.62733423];36;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702428548.649887;PPO;env;4;2.633212508805086;[2.62233153 2.62262728 2.63321251 2.62648789];37;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702428826.2509968;PPO;env;4;2.633488534783923;[2.62231701 2.62256729 2.63348853 2.62648964];38;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702429102.3068564;PPO;env;4;2.633701088183208;[2.62248855 2.62263054 2.63370109 2.62596665];39;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702429380.0150526;PPO;env;4;2.634374950114905;[2.62318843 2.62309807 2.63437495 2.62612718];40;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702429657.624369;PPO;env;4;2.633510308763906;[2.62333606 2.62327404 2.63351031 2.62571088];41;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702429936.223223;PPO;env;4;2.6328458866388487;[2.62336864 2.62343394 2.63284589 2.62636324];42;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702430213.6812973;PPO;env;4;2.6328353353172327;[2.62380572 2.62308454 2.63283534 2.62606277];43;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702430493.6718938;PPO;env;4;2.632794621352956;[2.62434069 2.62291802 2.63279462 2.62534045];44;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702430773.2246137;PPO;env;4;2.6325368174982273;[2.62391853 2.62281156 2.63253682 2.62583093];45;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702431054.8045256;PPO;env;4;2.6324385808660096;[2.62376862 2.6228811  2.63243858 2.62590266];46;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702431335.9898958;PPO;env;4;2.6326404353430695;[2.62359118 2.62262781 2.63264044 2.62581893];47;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702431617.2946975;PPO;env;4;2.6326696136011525;[2.62353961 2.62270573 2.63266961 2.62546291];48;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702431898.7586274;PPO;env;4;2.6326957422054083;[2.62289508 2.62334263 2.63269574 2.62544635];49;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702432179.585367;PPO;env;4;2.6325650668685414;[2.62276404 2.62311256 2.63256507 2.62523228];50;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702432460.5244308;PPO;env;4;2.6323751117295195;[2.62243619 2.62334978 2.63237511 2.62551115];51;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702432741.8081355;PPO;env;4;2.6322125289046197;[2.62225032 2.62380098 2.63221253 2.62546848];52;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702433024.2808373;PPO;env;4;2.632083477142107;[2.62316114 2.62426937 2.63208348 2.62547937];53;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702433306.7491646;PPO;env;4;2.631709129099131;[2.62364085 2.62429341 2.63170913 2.62533753];54;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702433587.9757106;PPO;env;4;2.631361084244815;[2.62443831 2.62491568 2.63136108 2.62543738];55;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702433871.5346463;PPO;env;4;2.6313340217588412;[2.62503673 2.62481736 2.63133402 2.62577249];56;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702434152.8391955;PPO;env;4;2.631620199121357;[2.62469024 2.62485296 2.6316202  2.62617839];57;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702434439.5665445;PPO;env;4;2.631539931945233;[2.62473551 2.62465471 2.63153993 2.62633939];58;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702434724.4727168;PPO;env;4;2.631703130787877;[2.6247586  2.62450328 2.63170313 2.62626147];59;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702435010.781093;PPO;env;4;2.63166403688774;[2.62514963 2.62452089 2.63166404 2.62621626];60;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702435302.08113;PPO;env;4;2.631753078273513;[2.62517515 2.62483018 2.63175308 2.62623313];61;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702435588.0501306;PPO;env;4;2.631481111213537;[2.62523279 2.62439716 2.63148111 2.62619944];62;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702435871.5702546;PPO;env;4;2.6311610607303253;[2.62517574 2.62441545 2.63116106 2.62634611];63;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702436158.801417;PPO;env;4;2.6310353780681766;[2.62465167 2.62451926 2.63103538 2.62669719];64;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702436443.2632515;PPO;env;4;2.630771354201093;[2.62485845 2.6248131  2.63077135 2.62674518];65;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702436731.2898455;PPO;env;4;2.6309872139788446;[2.62539352 2.62481388 2.63098721 2.62656854];66;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702437017.7414966;PPO;env;4;2.631195998324647;[2.62536324 2.62486679 2.631196   2.62649023];67;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702437308.5018113;PPO;env;4;2.6310463045154635;[2.62559854 2.62478128 2.6310463  2.62633405];68;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702437591.900063;PPO;env;4;2.631174777688418;[2.62575393 2.62501126 2.63117478 2.62616292];69;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702437874.8587406;PPO;env;4;2.631533998882633;[2.62576488 2.62494625 2.631534   2.62620835];70;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702438161.3953257;PPO;env;4;2.6320042665470367;[2.62590938 2.6249009  2.63200427 2.62676132];71;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702438455.4380322;PPO;env;4;2.6320601550689586;[2.62610974 2.6250724  2.63206016 2.62635777];72;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702438744.5071929;PPO;env;4;2.632153405593614;[2.6260695  2.62527838 2.63215341 2.62638741];73;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702439031.299361;PPO;env;4;2.6319203009182948;[2.62612345 2.6252813  2.6319203  2.62623393];74;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702439319.7256062;PPO;env;4;2.631590016447655;[2.62579559 2.62525191 2.63159002 2.62648884];75;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702439609.134794;PPO;env;4;2.6314525356437652;[2.62578873 2.62534177 2.63145254 2.62633924];76;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
